rank,scats_site,total_volume,months_present,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band
1,4415,674498771,147,2014-01,2026-04,4588427.01,5171583,2024-10,5171583,0.125134,674498771,0.125134,Top 1%
2,3380,638170425,147,2014-01,2026-04,4341295.41,5623984,2019-10,5623984,0.118394,1312669196,0.243529,Top 1%
3,2404,560184622,147,2014-01,2026-04,3810779.74,4564372,2014-08,4564372,0.103926,1872853818,0.347455,Top 1%
4,849,548183949,147,2014-01,2026-04,3729142.51,4709610,2021-05,4709610,0.1017,2421037767,0.449155,Top 1%
5,1359,546970945,147,2014-01,2026-04,3720890.78,12236931,2017-04,12236931,0.101475,2968008712,0.55063,Top 1%
6,2487,544715773,147,2014-01,2026-04,3705549.48,4174126,2018-10,4174126,0.101057,3512724485,0.651686,Top 1%
7,3386,543973902,147,2014-01,2026-04,3700502.73,4235558,2017-03,4235558,0.100919,4056698387,0.752605,Top 1%
8,2405,518575823,147,2014-01,2026-04,3527726.69,4018888,2019-03,4018888,0.096207,4575274210,0.848812,Top 1%
9,3519,513927484,147,2014-01,2026-04,3496105.33,4043387,2019-10,4043387,0.095345,5089201694,0.944157,Top 1%
10,416,505992688,147,2014-01,2026-04,3442127.13,4005976,2017-03,4005976,0.093873,5595194382,1.03803,Top 1%
11,2101,497445056,147,2014-01,2026-04,3383979.97,4481475,2023-03,4481475,0.092287,6092639438,1.130316,Top 1%
12,855,497003865,147,2014-01,2026-04,3380978.67,3947622,2016-11,3947622,0.092205,6589643303,1.222521,Top 1%
13,3357,495736142,147,2014-01,2026-04,3372354.71,3951812,2019-10,3951812,0.09197,7085379445,1.314491,Top 1%
14,3516,494139005,147,2014-01,2026-04,3361489.83,3941371,2025-10,3941371,0.091673,7579518450,1.406165,Top 1%
15,3060,492433092,147,2014-01,2026-04,3349884.98,3842180,2025-10,3842180,0.091357,8071951542,1.497522,Top 1%
16,2816,491145042,147,2014-01,2026-04,3341122.73,4127796,2025-10,4127796,0.091118,8563096584,1.58864,Top 1%
17,3393,489568230,147,2014-01,2026-04,3330396.12,5419559,2018-05,5419559,0.090825,9052664814,1.679465,Top 1%
18,3376,488890200,147,2014-01,2026-04,3325783.67,4534060,2025-10,4534060,0.0907,9541555014,1.770165,Top 1%
19,415,488718913,147,2014-01,2026-04,3324618.46,3737399,2016-07,3737399,0.090668,10030273927,1.860833,Top 1%
20,414,486344942,147,2014-01,2026-04,3308468.99,3719078,2018-10,3719078,0.090228,10516618869,1.95106,Top 1%
21,2929,485057518,147,2014-01,2026-04,3299711.01,4514522,2023-07,4514522,0.089989,11001676387,2.041049,Top 1%
22,4035,478691176,147,2014-01,2026-04,3256402.56,5179024,2025-03,5179024,0.088808,11480367563,2.129856,Top 1%
23,2438,470322516,147,2014-01,2026-04,3199472.9,5489275,2017-05,5489275,0.087255,11950690079,2.217111,Top 1%
24,3052,468472268,147,2014-01,2026-04,3186886.18,3799977,2025-03,3799977,0.086912,12419162347,2.304023,Top 1%
25,3381,460540614,147,2014-01,2026-04,3132929.35,3728104,2025-10,3728104,0.08544,12879702961,2.389463,Top 1%
